Nombre;Motor;Año;Kilometraje;Cero_km;Accesorios;Valor
Jetta Variant;Motor 4.0 Turbo;2003;44410;False;['Llantas de aleación', 'Cerraduras electricas', 'Piloto automático', 'Asientos de cuero', 'Aire condicionado', 'Sensor de estacionamiento', 'Sensor crepuscular', 'Sensor de lluvia'];88078.64
Passat;Motor Diesel;1991;5712;False;['Central multimedia', 'Techo panorámico', 'Frenos ABS', '4 X 4', 'Panel digital', 'Piloto automático', 'Asientos de cuero', 'Cámara de estacionamiento'];106161.94
Crossfox;Motor Diesel V8;1990;37123;False;['Piloto automático', 'Control de estabilidad', 'Sensor crepuscular', 'Frenos ABS', 'Transmisión automática', 'Asientos de cuero', 'Central multimedia', 'Ventanas eléctricas'];72832.16
DS5;Motor 2.4 Turbo;2019;;True;['Cerraduras electricas', '4 X 4', 'Ventanas eléctricas', 'Sensor crepuscular', 'Sensor de lluvia', 'Cámara de estacionamiento', 'Aire condicionado', 'Llantas de aleación'];124549.07
Aston Martin DB4;Motor 2.4 Turbo;2006;25757;False;['Llantas de aleación', '4 X 4', 'Central multimedia', 'Aire condicionado', 'Control de estabilidad', 'Transmisión automática', 'Sensor de estacionamiento', 'Piloto automático'];92612.1
Palio Weekend;Motor 1.8 16v;2012;10728;False;['Sensor de estacionamiento', 'Techo panorámico', 'Sensor crepuscular', 'Panel digital', 'Aire condicionado', 'Llantas de aleación', 'Control de estabilidad', 'Asientos de cuero'];97497.73
A5;Motor 4.0 Turbo;2019;;True;['Transmisión automática', 'Cámara de estacionamiento', 'Frenos ABS', 'Control de tracción', 'Central multimedia', 'Cerraduras electricas', 'Sensor crepuscular', 'Llantas de aleación'];56445.2
Série 3 Cabrio;Motor 1.0 8v;2009;77599;False;['Control de estabilidad', 'Sensor crepuscular', 'Control de tracción', 'Techo panorámico', 'Cerraduras electricas', 'Piloto automático', 'Panel digital', 'Cámara de estacionamiento'];112310.44
Dodge Jorney;Motor 3.0 32v;2010;99197;False;['Ventanas eléctricas', 'Piloto automático', 'Techo panorámico', 'Aire condicionado', 'Asientos de cuero', 'Transmisión automática', 'Llantas de aleación', 'Cerraduras electricas'];120716.27
Carens;Motor 5.0 V8 Bi-Turbo;2011;37978;False;['Aire condicionado', 'Panel digital', 'Central multimedia', 'Sensor crepuscular', 'Transmisión automática', 'Llantas de aleación', 'Control de tracción', 'Cámara de estacionamiento'];76566.49
