start.station.id,end.station.name,dia.llegada,mes.llegada,año.llegada,Numero.viajes
3184,Astor Place,23,9,2019,1
3184,Baldwin at Montgomery,4,9,2019,1
3184,Baldwin at Montgomery,5,9,2019,2
3184,Baldwin at Montgomery,6,10,2020,1
3184,Baldwin at Montgomery,7,9,2019,1
3184,Baldwin at Montgomery,9,9,2019,1
3184,Baldwin at Montgomery,10,9,2019,1
3184,Baldwin at Montgomery,11,9,2019,1
3184,Baldwin at Montgomery,12,9,2019,1
3184,Baldwin at Montgomery,13,9,2019,2
3184,Baldwin at Montgomery,13,9,2020,1
3184,Baldwin at Montgomery,16,9,2019,1
3184,Baldwin at Montgomery,20,9,2020,1
3184,Baldwin at Montgomery,25,9,2019,1
3184,Baldwin at Montgomery,26,9,2020,4
3184,Baldwin at Montgomery,27,9,2020,1
3184,Baldwin at Montgomery,30,9,2019,1
3184,Baldwin at Montgomery,30,9,2020,1
3184,Bergen Ave,1,10,2020,1
3184,Bergen Ave,2,10,2020,1
3184,Bergen Ave,8,10,2020,1
3184,Bergen Ave,19,9,2020,2
3184,Bergen Ave,30,9,2020,1
3184,Brunswick & 6th,1,9,2020,1
3184,Brunswick & 6th,1,10,2020,1
3184,Brunswick & 6th,3,9,2019,2
3184,Brunswick & 6th,3,9,2020,1
3184,Brunswick & 6th,3,10,2020,1
3184,Brunswick & 6th,4,9,2019,2
3184,Brunswick & 6th,4,9,2020,1
3184,Brunswick & 6th,5,9,2019,2
3184,Brunswick & 6th,8,9,2020,2
3184,Brunswick & 6th,8,10,2020,1
3184,Brunswick & 6th,9,10,2020,1
3184,Brunswick & 6th,10,9,2019,1
3184,Brunswick & 6th,10,9,2020,1
3184,Brunswick & 6th,11,10,2020,1
3184,Brunswick & 6th,12,9,2019,1
3184,Brunswick & 6th,13,9,2019,1
3184,Brunswick & 6th,14,9,2019,2
3184,Brunswick & 6th,14,9,2020,2
3184,Brunswick & 6th,16,9,2019,1
3184,Brunswick & 6th,18,9,2020,1
3184,Brunswick & 6th,20,9,2019,2
3184,Brunswick & 6th,20,9,2020,1
3184,Brunswick & 6th,22,9,2019,2
3184,Brunswick & 6th,23,9,2020,1
3184,Brunswick & 6th,26,9,2019,1
3184,Brunswick & 6th,28,9,2019,1
3184,Brunswick St,1,9,2020,1
3184,Brunswick St,3,10,2020,1
3184,Brunswick St,4,10,2020,1
3184,Brunswick St,5,9,2020,1
3184,Brunswick St,5,10,2020,1
3184,Brunswick St,6,10,2020,1
3184,Brunswick St,10,9,2019,1
3184,Brunswick St,15,9,2019,1
3184,Brunswick St,17,9,2019,1
3184,Brunswick St,19,9,2019,2
3184,Brunswick St,23,9,2020,1
3184,Brunswick St,25,9,2020,2
3184,Brunswick St,27,9,2019,1
3184,City Hall,1,9,2020,1
3184,City Hall,1,10,2020,4
3184,City Hall,2,10,2020,3
3184,City Hall,3,9,2019,1
3184,City Hall,3,10,2020,3
3184,City Hall,4,9,2019,1
3184,City Hall,4,9,2020,4
3184,City Hall,5,9,2019,1
3184,City Hall,5,10,2020,1
3184,City Hall,6,9,2019,2
3184,City Hall,6,10,2020,4
3184,City Hall,8,10,2020,1
3184,City Hall,9,9,2019,1
3184,City Hall,9,9,2020,1
3184,City Hall,10,9,2019,1
3184,City Hall,10,9,2020,1
3184,City Hall,11,9,2019,4
3184,City Hall,11,9,2020,5
3184,City Hall,11,10,2020,2
3184,City Hall,12,9,2020,1
3184,City Hall,13,9,2019,1
3184,City Hall,13,9,2020,1
3184,City Hall,14,9,2019,1
3184,City Hall,14,9,2020,1
